dataset_label;link_immometrica;ort;adresse;titel;preis;wohnflaeche;roi_s;tage_online;agent_decision;agent_klasse;score_vor_malus;agent_liquiditaets_malus;score_final;exclusion_reason;risk_level;next_step;audit_kategorie;audit_liquiditaets_malus;manual_review_required;validation_result
20260701_offers_Hannover;https://www.immometrica.com/de/offer/16526363;List;Hinrichsring 12, 30177 Hannover;Hinrichsring: Vermietete 2-Zimmer-Wohnung mit Balkon nähe Mittellandkanal;99000;66;8.5;1098;Ausschließen;❌ AUSSCHLIESSEN;64;-30;34;⚠️ CLUSTER gleiche Straße + PLZ;🟡 PRÜFEN;Ausschließen oder nur bei deutlichem Preisnachlass erneut prüfen.;möglicher False Negative: gute ROI, aber stark altes Inserat;-30;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/17902470;Alt-Laatzen;Flemingstraße, 30880 Laatzen (Laatzen-Mitte);Gut geschnittene Etagenwohnung mit Sonnenbalkon und 1 Tiefgaragenplatz;105000;59;6.9;943;Ausschließen;❌ AUSSCHLIESSEN;57;-30;27;"Stadt/Ort nicht in Whitelist: Laatzen; ⚠️ CLUSTER gleiche Straße + PLZ";🔴 BLOCKER;"Nicht im Zielmarkt Hannover-Stadt; nur beobachten, falls Region explizit freigegeben wird.";möglicher False Negative: gute ROI, aber stark altes Inserat;-30;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/21068810;Barsinghausen;Allerweg 1, 30890 Barsinghausen;!! Provisionsfrei !!Schicke 2 Zi.ETW/3 WE/ effiziente neue Heizung/Garten/ca. 18 km bis Hannover;98000;65;6.7;625;Ausschließen;❌ AUSSCHLIESSEN;59;-30;29;"Stadt/Ort nicht in Whitelist: Barsinghausen; Hausgeld fehlt";🔴 BLOCKER;"Nicht im Zielmarkt Hannover-Stadt; nur beobachten, falls Region explizit freigegeben wird.";möglicher False Negative: gute ROI, aber stark altes Inserat;-30;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/22840770;Linden-Mitte;Am Ihmeufer 3, 30449 Hannover;Ihr neues IMMOBILIEN QUARTIER: Gepflegte & gut vermietete 2-Zimmer Wohnung im Ihmezentrum;75000;64.1;12.2;453;Ausschließen;❌ AUSSCHLIESSEN;37;-30;7;IHME-ZENTRUM-FALLE / Ihme-Risiko;🟡 PRÜFEN;Ausschließen oder nur bei deutlichem Preisnachlass erneut prüfen.;möglicher False Negative: gute ROI, aber stark altes Inserat;-30;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/23204182;Burgwedel;Pappelweg 7b, 30938, Burgwedel;attraktive Wohnung zur Kapitalanlage;89000;35;5.4;415;Ausschließen;❌ AUSSCHLIESSEN;33;-30;3;Stadt/Ort nicht in Whitelist: Burgwedel;🔴 BLOCKER;"Nicht im Zielmarkt Hannover-Stadt; nur beobachten, falls Region explizit freigegeben wird.";Grenzfall: attraktive ROI, aber sehr lange online;-30;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/23246720;Badenstedt;Ziesenißstr. 22, 30455 Badenstedt, Hannover;Anlage-Einstieg: Vermietete 2-Zimmer-Wohnung in guter Lage Hann.-Badenstedt.;137900;56.61;5.0;412;Ausschließen;❌ AUSSCHLIESSEN;48;-30;18;;🟡 PRÜFEN;Ausschließen oder nur bei deutlichem Preisnachlass erneut prüfen.;Grenzfall: attraktive ROI, aber sehr lange online;-30;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/23307683;Hannover;Ihmeplatz 6, 30449 Hannover;Gepflegte, vermietete 2 Zimmer Whg.;57000;61.57;13.9;406;Ausschließen;❌ AUSSCHLIESSEN;46;-30;16;"IHME-ZENTRUM-FALLE / Ihme-Risiko; ⚠️ CLUSTER gleiche Straße + PLZ";🟡 PRÜFEN;Ausschließen oder nur bei deutlichem Preisnachlass erneut prüfen.;möglicher False Negative: gute ROI, aber stark altes Inserat;-30;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/23358818;Springe;Steinberg 57, 31832 Springe;Eigennutzung oder Vermietung: Top gepflegte 2-Zimmer-Wohnung mit Terrasse und Garage;99000;58;5.7;401;Ausschließen;❌ AUSSCHLIESSEN;61;-30;31;"Stadt/Ort nicht in Whitelist: Springe; ⚠️ CLUSTER gleiche Straße + PLZ";🔴 BLOCKER;"Nicht im Zielmarkt Hannover-Stadt; nur beobachten, falls Region explizit freigegeben wird.";Grenzfall: attraktive ROI, aber sehr lange online;-30;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/23481254;Hannover;Ihmeplatz 1, 30449 Linden-Mitte, Hannover;Renovierte 1-Zimmer Wohnung für Kapitalanleger - 7,35 % Mietrendite - im Ihmezentrum;80000;31;6.4;390;Ausschließen;❌ AUSSCHLIESSEN;0;-30;0;"IHME-ZENTRUM-FALLE / Ihme-Risiko; SANIERUNGSSTAU / renovierungsbedürftig; ⚠️ CLUSTER gleiche Straße + PLZ";🟡 PRÜFEN;Ausschließen oder nur bei deutlichem Preisnachlass erneut prüfen.;möglicher False Negative: gute ROI, aber stark altes Inserat;-30;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/23582066;Mittelfeld;Washingtonweg 1A, 30519 Mittelfeld, Hannover;Moderne & frisch sanierte 1-Zimmer-Wohnung: hell, sonniger Balkon + schöner Ausblick ins Grüne;75000;25.39;6.6;379;Ausschließen;❌ AUSSCHLIESSEN;55;-30;25;"Wohnfläche < 30 m²; Hausgeld fehlt; ⚠️ CLUSTER gleiche Straße + PLZ";🔴 BLOCKER;"Ausschluss dokumentieren; nur Audit-Grenzfall prüfen.";möglicher False Negative: gute ROI, aber stark altes Inserat;-30;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/23582360;Hannover;Washingtonweg 1A, 30519 Mittelfeld, Hannover;Moderne & frisch sanierte 2-Zimmer-Wohnung: hell, freundlich + schöner Ausblick ins Grüne;95000;34.52;5.8;378;Ausschließen;❌ AUSSCHLIESSEN;57;-30;27;"Hausgeld fehlt; ⚠️ CLUSTER gleiche Straße + PLZ";🟡 PRÜFEN;Ausschließen oder nur bei deutlichem Preisnachlass erneut prüfen.;Grenzfall: attraktive ROI, aber sehr lange online;-30;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/23814589;Alt-Laatzen;Flemingstr. 2, 30880 Laatzen;Sofort wohlfühlen: 2-Zi.-ETW im beliebten Laatzen-Mitte;125000;58.6;6.5;356;Ausschließen;❌ AUSSCHLIESSEN;47;-30;17;Stadt/Ort nicht in Whitelist: Laatzen;🔴 BLOCKER;"Nicht im Zielmarkt Hannover-Stadt; nur beobachten, falls Region explizit freigegeben wird.";möglicher False Negative: gute ROI, aber stark altes Inserat;-30;True;POTENTIAL_FALSE_NEGATIVE
