dataset_label;details;plz;ort;adresse;titel;preis;wohnflaeche;roi_s;roi_i;tage_online;hausgeld;zustand;trend;cashflow;link_immometrica;online_bucket;liquiditaets_malus;audit_kategorie;manual_review_required;manual_review_reason
Hannover;https://www.immometrica.com/de/offer/23307683;30449;Hannover;Ihmeplatz 6, 30449 Hannover;Gepflegte, vermietete 2 Zimmer Whg.;57000.0;61.57;13.9;10.2;406.0;218.0;Gepflegt;gesunken;663.73;https://www.immometrica.com/de/offer/23307683;>180 Tage;-30;Altinserat-Renditefalle: hohe ROI, aber sehr lange online;True;stale_high_roi_risk
Hannover;https://www.immometrica.com/de/offer/27561893;30449;Linden-Mitte;30449 Hannover - Linden-Limmer 30449 Hannover - Linden-Limmer;Ihr neues IMMOBILIEN QUARTIER: Gepflegte & gut vermietete 2-Zimmer Wohnung im Ihmezentrum;75000.0;64.08;12.0;;23.0;326.0;Gepflegt;-;647.96;https://www.immometrica.com/de/offer/27561893;14–60 Tage;-5;prüfen;False;
Hannover;https://www.immometrica.com/de/offer/27041063;30451;Linden-Nord;Ottenstraße 10a, 30451 Linden-Nord, Hannover;1,5- Zimmer-Wohnung - vermietet - für Visionäre;48000.0;43.0;13.5;15.0;68.0;496.0;Renovierungsbedürftig;-;563.19;https://www.immometrica.com/de/offer/27041063;61–180 Tage;-15;Stale Listing Due Diligence: alt, aber eventuell prüfbar;True;stale_due_diligence
Hannover;https://www.immometrica.com/de/offer/22840770;30449;Linden-Mitte;Am Ihmeufer 3, 30449 Hannover;Ihr neues IMMOBILIEN QUARTIER: Gepflegte & gut vermietete 2-Zimmer Wohnung im Ihmezentrum;75000.0;64.1;12.2;10.4;453.0;326.0;Gepflegt;gesunken;654.58;https://www.immometrica.com/de/offer/22840770;>180 Tage;-30;Altinserat-Renditefalle: hohe ROI, aber sehr lange online;True;stale_high_roi_risk
Hannover;https://www.immometrica.com/de/offer/27786509;31832;Bennigsen;Süllbergring, 31832 Springe-Bennigsen;Suburban, naturnah leben: 2-Zi.-Whg in Bennigsen – Private Wohngenossenschaft;62500.0;49.0;9.9;;1.0;784.0;Erstbezug;-;337.69;https://www.immometrica.com/de/offer/27786509;<14 Tage;0;kein Liquiditätsrisiko;False;no_liquidity_issue
Hannover;https://www.immometrica.com/de/offer/27617639;30657;Hannover;30657 Hannover;2-Zimmer-Wohnung mit wunderschönem Panoramablick;110000.0;61.0;8.9;;16.0;273.0;Renovierungsbedürftig;-;575.92;https://www.immometrica.com/de/offer/27617639;14–60 Tage;-5;prüfen;False;
Hannover;https://www.immometrica.com/de/offer/27792321;31832;Springe;Süllbergring, 31832 Springe-Bennigsen (Bennigsen);Suburban, naturnah leben: 2-Zi.-Whg in Bennigsen - Private Wohngenossenschaft;62500.0;49.1;9.9;;2.0;784.0;Erstbezug;-;337.69;https://www.immometrica.com/de/offer/27792321;<14 Tage;0;kein Liquiditätsrisiko;False;no_liquidity_issue
Hannover;https://www.immometrica.com/de/offer/26248930;30559;Bemerode;Bindingweg 1, 30559 Bemerode, Hannover;Bemerode, Bindingweg, vermietete 2 Zi-ETW, 62 m², Balkon mit Fernblick,  7. OG, Stellplatz;134000.0;62.0;6.9;4.7;134.0;426.0;Gepflegt;-;355.66;https://www.immometrica.com/de/offer/26248930;61–180 Tage;-15;Stale Listing Due Diligence: alt, aber eventuell prüfbar;True;stale_due_diligence
Hannover;https://www.immometrica.com/de/offer/16526363;30177;List;Hinrichsring 12, 30177 Hannover;Hinrichsring: Vermietete 2-Zimmer-Wohnung mit Balkon nähe Mittellandkanal;99000.0;66.0;8.5;5.9;1098.0;476.0;Gepflegt;gesunken;439.23;https://www.immometrica.com/de/offer/16526363;>180 Tage;-30;Altinserat-Renditefalle: hohe ROI, aber sehr lange online;True;stale_high_roi_risk
Hannover;https://www.immometrica.com/de/offer/27442996;30880;Alt-Laatzen;Otto-Hahn-Str. 30, 30880 Laatzen;Attraktiv mit viel Potenzial;146000.0;75.0;7.1;4.3;32.0;;Gepflegt;-;425.7;https://www.immometrica.com/de/offer/27442996;14–60 Tage;-5;prüfen;False;
Hannover;https://www.immometrica.com/de/offer/27355897;30827;Garbsen;Im Hespe 41, 30827, Garbsen;1-Zimmer-Wohnung in Garbsen-Berenbostel;94500.0;48.0;7.1;;40.0;331.0;Gepflegt;gesunken;374.02;https://www.immometrica.com/de/offer/27355897;14–60 Tage;-5;prüfen;False;
Hannover;https://www.immometrica.com/de/offer/27043910;30952;Ronnenberg;Breite Str. 17C, 30952 Ronnenberg;Charmante 2 Zimmer Eigentumswohnung mit Balkon in Ronnenberg/OT;108000.0;54.0;6.9;;68.0;;Modernisiert;-;374.77;https://www.immometrica.com/de/offer/27043910;61–180 Tage;-15;Stale Listing Due Diligence: alt, aber eventuell prüfbar;True;stale_due_diligence
Hannover;https://www.immometrica.com/de/offer/27230522;30827;Garbsen;Goethestr. 5, 30827 Garbsen;Charmante DG-Wohnung nahe Hannover – ruhig & gut angebunden;119000.0;63.0;6.5;;51.0;533.0;Gepflegt;-;269.09;https://www.immometrica.com/de/offer/27230522;14–60 Tage;-5;prüfen;False;
