dataset_label;link_immometrica;ort;adresse;titel;preis;wohnflaeche;roi_s;tage_online;agent_decision;agent_klasse;score_vor_malus;agent_liquiditaets_malus;score_final;exclusion_reason;risk_level;next_step;audit_kategorie;audit_liquiditaets_malus;manual_review_required;manual_review_reason;validation_result
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/13315647;Leipzig;Seehausener Allee 40, 04356 Leipzig;Kapitalanlage - Neubau ETW mit EBK und Terrasse im grünen Seehausen - nahe BMW Werk;96500;35.73;5;1511;AUSSCHLIESSEN;❌ AUSSCHLIESSEN;55;-30;25;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen;Altinserat-Risiko: sehr lange online;-30;True;stale_listing_risk;EXCLUSION_SUPPORTED_BY_STALE_LISTING_RISK
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/15315328;Wiederitzsch;Martinshöhe 8A, 04158 Leipzig;RUHIGES APPARTEMENT MIT BALKON UND TG IN WIEDERITZSCH...;114500;51.3;5.5;1249;AUSSCHLIESSEN;❌ AUSSCHLIESSEN;53;-30;23;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen;Altinserat-Risiko: sehr lange online;-30;True;stale_listing_risk;EXCLUSION_SUPPORTED_BY_STALE_LISTING_RISK
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/16798679;Paunsdorf;Hermelinplatz 10, 04329 Heiterblick, Leipzig;Langfristige Mieteinnahmen: Exklusive 2-Zimmer-Wohnung mit solventer Mieterin!!!;140000;62.23;5.4;1064;AUSSCHLIESSEN;❌ AUSSCHLIESSEN;55;-30;25;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen;Altinserat-Risiko: sehr lange online;-30;True;stale_listing_risk;EXCLUSION_SUPPORTED_BY_STALE_LISTING_RISK
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/17374691;Lindenau;Josephstr. 39, 04177 Leipzig;Vermietete 1-Raum-ETW mit Loggia in Plagwitz-Lindenau;110600;32.64;4.5;989;AUSSCHLIESSEN;❌ AUSSCHLIESSEN;47;-30;17;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen;Altinserat-Risiko: sehr lange online;-30;True;stale_listing_risk;EXCLUSION_SUPPORTED_BY_STALE_LISTING_RISK
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/17565630;Großzschocher;Bismarckstr. 29, 04249 Leipzig;ERSTKLASSIGE RENDITE FÜR IHR PORTFOLIO! // Vermietete 2-Raum-Wohnung mit Terrasse;130000;64.8;5.4;965;AUSSCHLIESSEN;❌ AUSSCHLIESSEN;59;-30;29;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen;Altinserat-Risiko: sehr lange online;-30;True;stale_listing_risk;EXCLUSION_SUPPORTED_BY_STALE_LISTING_RISK
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/17845425;Engelsdorf;04319 Leipzig (Engelsdorf);Kleine gemütliche Wohnung als Kapitalanlage;99500;36;4.4;1360;AUSSCHLIESSEN;❌ AUSSCHLIESSEN;47;-30;17;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen;Altinserat-Risiko: sehr lange online;-30;True;stale_listing_risk;EXCLUSION_SUPPORTED_BY_STALE_LISTING_RISK
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/18122865;Eutritzsch;04129 Leipzig - Eutritzsch 04129 Leipzig - Eutritzsch;vermietete 2 Zimmerwohnung - Kapitalanlage;120000;46.3;4.7;924;AUSSCHLIESSEN;❌ AUSSCHLIESSEN;60;-30;30;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen;Altinserat-Risiko: sehr lange online;-30;True;stale_listing_risk;EXCLUSION_SUPPORTED_BY_STALE_LISTING_RISK
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/18343393;Mockau-Nord;Mockauer Straße 55, 04357 Mockau-Süd, Leipzig;Hübsche 2-Raum-Wohnung mit Balkon zu verkaufen;140000;65;5.2;897;AUSSCHLIESSEN;❌ AUSSCHLIESSEN;57;-30;27;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen;Altinserat-Risiko: sehr lange online;-30;True;stale_listing_risk;EXCLUSION_SUPPORTED_BY_STALE_LISTING_RISK
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/18659684;Burghausen-Rückmarsdorf;Lindenpark 1, 04178 Leipzig;I INVEST I 4.500 €/p.a IST I Neubau I 2-RW I Balkon I Stellplatz I;119500;40.93;4.2;867;AUSSCHLIESSEN;❌ AUSSCHLIESSEN;49;-30;19;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen;Altinserat-Risiko: sehr lange online;-30;True;stale_listing_risk;EXCLUSION_SUPPORTED_BY_STALE_LISTING_RISK
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/18993542;Leipzig;Alte Gärtnerei 4, 04288 Leipzig;Gepflegte Eigentumswohnung mit zwei Balkonen und Stellplatz in Leipzig-Liebertwolkwitz;135000;66.1;5.3;835;AUSSCHLIESSEN;❌ AUSSCHLIESSEN;53;-30;23;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen;Altinserat-Risiko: sehr lange online;-30;True;stale_listing_risk;EXCLUSION_SUPPORTED_BY_STALE_LISTING_RISK
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/19347632;Leipzig;Slevogtstr. 18, 04159 Leipzig;Attraktive Kapitalanlage in Leipzig/Möckern!;114000;52.2;4.9;799;AUSSCHLIESSEN;❌ AUSSCHLIESSEN;57;-30;27;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen;Altinserat-Risiko: sehr lange online;-30;True;stale_listing_risk;EXCLUSION_SUPPORTED_BY_STALE_LISTING_RISK
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/19490949;Stötteritz;Schlesierstr. 43, 04299 Leipzig;Vermietete 2 Zimmer Eigentumswohnung mit Balkon in Leipzig - Stötteritz;117000;45.33;4.4;785;AUSSCHLIESSEN;❌ AUSSCHLIESSEN;50;-30;20;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen;Altinserat-Risiko: sehr lange online;-30;True;stale_listing_risk;EXCLUSION_SUPPORTED_BY_STALE_LISTING_RISK
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/19625220;Paunsdorf;Am Bauernteich 1, 04328 Paunsdorf, Leipzig;Helle 2-Raum-Wohnung im Leipziger Osten;150000;65.61;4.6;770;AUSSCHLIESSEN;❌ AUSSCHLIESSEN;52;-30;22;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen;Altinserat-Risiko: sehr lange online;-30;True;stale_listing_risk;EXCLUSION_SUPPORTED_BY_STALE_LISTING_RISK
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/20173878;Leipzig;04356 Leipzig - Seehausen 04356 Leipzig - Seehausen;Gemütliche 1,5-Zimmer-Wohnung mit Balkon und Einbauküche in grüner Wohnanlage;79000;31;5.7;716;AUSSCHLIESSEN;❌ AUSSCHLIESSEN;51;-30;21;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen;Altinserat-Risiko: sehr lange online;-30;True;stale_listing_risk;EXCLUSION_SUPPORTED_BY_STALE_LISTING_RISK
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/20173879;Leipzig;04356 Leipzig - Seehausen 04356 Leipzig - Seehausen;Stilvoll Wohnen in Leipzig-Seehausen: Zwei-Zimmer-Wohnung mit Balkon, EBK, Tiefgarage und Aufzug;126000;54;5.2;716;AUSSCHLIESSEN;❌ AUSSCHLIESSEN;53;-30;23;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen;Altinserat-Risiko: sehr lange online;-30;True;stale_listing_risk;EXCLUSION_SUPPORTED_BY_STALE_LISTING_RISK
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/20932775;Leipzig;Außenring 34, 04158 Leipzig;LOHNENSWERTES INVESTMENT MIT 4,24 % RENDITE // Vermietete 2-Raum-Wohnung mit Balkon & TG-Stellplatz;123000;60;5.7;639;AUSSCHLIESSEN;❌ AUSSCHLIESSEN;59;-30;29;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen;Altinserat-Risiko: sehr lange online;-30;True;stale_listing_risk;EXCLUSION_SUPPORTED_BY_STALE_LISTING_RISK
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/20933890;Leipzig;Robinienweg 6, 04158 Leipzig;IHRE NEUE WOHLFÜHLOASE | Renovierte 2-Raum-Wohnung mit Balkon & TG-Stellplatz;131550;52.6;4.5;639;AUSSCHLIESSEN;❌ AUSSCHLIESSEN;48;-30;18;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen;Altinserat-Risiko: sehr lange online;-30;True;stale_listing_risk;EXCLUSION_SUPPORTED_BY_STALE_LISTING_RISK
