dataset_label;details;plz;ort;adresse;titel;preis;wohnflaeche;roi_s;roi_i;tage_online;hausgeld;zustand;trend;cashflow;link_immometrica;online_bucket;liquiditaets_malus;audit_kategorie;manual_review_required
Leipzig;https://www.immometrica.com/de/offer/27505929;4109;Zentrum;Ritterstraße 15, 04109 Leipzig (Zentrum);2.0 Zi. Wohnung in Leipzig (Zentrum);150000.0;68.0;7.8;;28.0;;Gepflegt;-;544.46;https://www.immometrica.com/de/offer/27505929;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27674736;4155;Gohlis-Süd;04155 Leipzig - Gohlis-Mitte 04155 Leipzig - Gohlis-Mitte;2 Zimmer-Wohnung/Dachgeschoss mit Balkon - Kapitalanlage in Leipzig Gohlis-Süd;84150.0;46.0;7.2;;14.0;277.0;Gepflegt;-;379.41;https://www.immometrica.com/de/offer/27674736;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27674730;4155;Gohlis-Süd;04155 Leipzig - Gohlis-Mitte 04155 Leipzig - Gohlis-Mitte;2 Zimmer Wohnung/Dachgeschoss mit Balkon - Kapitalanlage in Leipzig Gohlis-Süd;74700.0;39.0;7.1;;14.0;241.0;Gepflegt;-;369.74;https://www.immometrica.com/de/offer/27674730;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27424538;4229;Leipzig;04229 Leipzig;Zeitlose Kapitalanlage im Gründerzeithaus – 2-Zimmer-Wohnung mit Balkon und Aufzug;115000.0;55.0;7.0;;34.0;;Gepflegt;-;391.12;https://www.immometrica.com/de/offer/27424538;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27593598;4288;Leipzig;Brunnenstr. 2, 04288 Leipzig;++ Singlewohnung mit Terrasse, Stellplatz & Hobbyraum ++;55000.0;26.85;6.9;5.8;20.0;54.02;Gepflegt;-;378.07;https://www.immometrica.com/de/offer/27593598;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27746044;4316;Mölkau;Engelsdorfer Straße 140, 04316 Mölkau, Leipzig;Gepflegte 2-Zimmerwohnung mit Balkon in Mölkau!;99500.0;58.0;6.8;4.0;7.0;396.0;Modernisiert;-;314.86;https://www.immometrica.com/de/offer/27746044;<14 Tage;0;kein Liquiditätsrisiko;False
Leipzig;https://www.immometrica.com/de/offer/23934267;4178;Böhlitz-Ehrenberg;Heinrich-Heine-Str. 76, 04178 Leipzig Böhlitz-Ehrenberg;Vermietete 1 Zi-WE mit TG-Stellplatz zu verkaufen;66000.0;31.64;6.6;6.4;344.0;194.0;Gepflegt;gesunken;334.83;https://www.immometrica.com/de/offer/23934267;>180 Tage;-30;möglicher False Negative: gute ROI, aber stark altes Inserat;True
Leipzig;https://www.immometrica.com/de/offer/22834954;4179;Leipzig;Bischofstr. 25, 04179 Leipzig;Attraktive Kapitalanlage: 1-Zimmer-Wohnung mit Balkon & Stellplatz – 4,33 % Rendite;65000.0;30.0;6.4;4.3;454.0;142.0;Gepflegt;-;346.19;https://www.immometrica.com/de/offer/22834954;>180 Tage;-30;möglicher False Negative: gute ROI, aber stark altes Inserat;True
Leipzig;https://www.immometrica.com/de/offer/27102179;4299;Stötteritz;04299 Leipzig - Stötteritz 04299 Leipzig - Stötteritz;Zeitlose Kapitalanlage im Gründerzeithaus – 2-Zimmer-Wohnung mit Balkon und Aufzug;115000.0;55.0;6.4;;64.0;;Gepflegt;-;345.23;https://www.immometrica.com/de/offer/27102179;61–180 Tage;-15;möglicher False Negative: gute ROI, aber stark altes Inserat;True
Leipzig;https://www.immometrica.com/de/offer/26831639;4249;Knautkleeberg-Knauthain;04249 Leipzig - Knautkleeberg-Knauthain 04249 Leipzig - Knautkleeberg-Knauthain;ERSTKLASSIGE RENDITE FÜR IHR PORTFOLIO! // Vermietete 2-Raum-Wohnung mit Terrasse;130000.0;64.78;6.3;;86.0;344.0;Gepflegt;gesunken;333.04;https://www.immometrica.com/de/offer/26831639;61–180 Tage;-15;möglicher False Negative: gute ROI, aber stark altes Inserat;True
Leipzig;https://www.immometrica.com/de/offer/27096370;4356;Wiederitzsch;Zur Loberaue 15, 04356 Leipzig;Attraktive Kapitalanlage in Leipzig;120000.0;66.0;6.3;5.2;64.0;;Renovierungsbedürftig;gesunken;314.98;https://www.immometrica.com/de/offer/27096370;61–180 Tage;-15;möglicher False Negative: gute ROI, aber stark altes Inserat;True
Leipzig;https://www.immometrica.com/de/offer/27355695;4158;Leipzig;An der Windmühle 77, 04158 Leipzig;Smarte Kapitalanlage mit Aufzug, Balkon und Tiefgaragenstellplatz in Leipzig- Lindenthal;110000.0;55.0;6.2;4.7;41.0;282.0;Gepflegt;-;309.26;https://www.immometrica.com/de/offer/27355695;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/24562963;4205;Grünau-Nord;Am kleinen Feld 30, 04205 Leipzig;Eigentumswohnung Leipzig - Grünau - ruhige Lage  Leerstand;99000.0;56.3;6.2;;283.0;387.0;Renovierungsbedürftig;-;259.58;https://www.immometrica.com/de/offer/24562963;>180 Tage;-30;möglicher False Negative: gute ROI, aber stark altes Inserat;True
Leipzig;https://www.immometrica.com/de/offer/25524288;4155;Gohlis-Süd;Georg-Schumann-Str. 131, 04155 Leipzig;2 Zimmer-Wohnung/Dachgeschoss mit Balkon - Kapitalanlage in Leipzig Gohlis-Süd;84150.0;46.0;6.1;3.3;210.0;276.11;Gepflegt;gesunken;291.89;https://www.immometrica.com/de/offer/25524288;>180 Tage;-30;möglicher False Negative: gute ROI, aber stark altes Inserat;True
