dataset_label;link_immometrica;id;ort;adresse;titel;preis;wohnflaeche;roi_s;tage_online;score_vor_malus;liquiditaets_malus;score_final;klasse;agent_decision;exclusion_reason;risk_level;next_step
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27505929;LEIPZIG_150000_28_001;Zentrum;Ritterstraße 15, 04109 Leipzig (Zentrum);2.0 Zi. Wohnung in Leipzig (Zentrum);150000;68;7.8;28;74;-5;69;⚠️ NUR MIT RÜCKFRAGEN;UNVOLLSTÄNDIG / RÜCKFRAGEN;Datenmangel;🟡 PRÜFEN;Hausgeld/Baujahr/Rücklage/Nichtumlagefähiges erfragen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27674736;LEIPZIG_84150_14_002;Gohlis-Süd;04155 Leipzig - Gohlis-Mitte 04155 Leipzig - Gohlis-Mitte;2 Zimmer-Wohnung/Dachgeschoss mit Balkon - Kapitalanlage in Leipzig Gohlis-Süd;84150;46;7.2;14;65;-5;60;⚠️ NUR MIT RÜCKFRAGEN;NUR MIT RÜCKFRAGEN;Grenzfall / Score 55–69;🟡 PRÜFEN;Nur mit belastbaren WEG- und Mietunterlagen prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27674730;LEIPZIG_74700_14_003;Gohlis-Süd;04155 Leipzig - Gohlis-Mitte 04155 Leipzig - Gohlis-Mitte;2 Zimmer Wohnung/Dachgeschoss mit Balkon - Kapitalanlage in Leipzig Gohlis-Süd;74700;39;7.1;14;63;-5;58;⚠️ NUR MIT RÜCKFRAGEN;NUR MIT RÜCKFRAGEN;Grenzfall / Score 55–69;🟡 PRÜFEN;Nur mit belastbaren WEG- und Mietunterlagen prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27424538;LEIPZIG_115000_34_004;Leipzig;04229 Leipzig;Zeitlose Kapitalanlage im Gründerzeithaus – 2-Zimmer-Wohnung mit Balkon und Aufzug;115000;55;7;34;66;-5;61;⚠️ NUR MIT RÜCKFRAGEN;UNVOLLSTÄNDIG / RÜCKFRAGEN;Datenmangel;🟡 PRÜFEN;Hausgeld/Baujahr/Rücklage/Nichtumlagefähiges erfragen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27593598;LEIPZIG_55000_20_005;Leipzig;Brunnenstr. 2, 04288 Leipzig;++ Singlewohnung mit Terrasse, Stellplatz & Hobbyraum ++;55000;26.85;6.9;20;71;-5;66;⚠️ NUR MIT RÜCKFRAGEN;AUSSCHLIESSEN;Wohnfläche < 30 m²;🔴 BLOCKER;"Nicht weiterverfolgen; Hard Filter dokumentieren"
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27746044;LEIPZIG_99500_7_006;Mölkau;Engelsdorfer Straße 140, 04316 Mölkau, Leipzig;Gepflegte 2-Zimmerwohnung mit Balkon in Mölkau!;99500;58;6.8;7;63;0;63;⚠️ NUR MIT RÜCKFRAGEN;NUR MIT RÜCKFRAGEN;Grenzfall / Score 55–69;🟡 PRÜFEN;Nur mit belastbaren WEG- und Mietunterlagen prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/23934267;LEIPZIG_66000_344_007;Böhlitz-Ehrenberg;Heinrich-Heine-Str. 76, 04178 Leipzig Böhlitz-Ehrenberg;Vermietete 1 Zi-WE mit TG-Stellplatz zu verkaufen;66000;31.64;6.6;344;56;-30;26;❌ AUSSCHLIESSEN;NUR MIT RÜCKFRAGEN;Altinserat-Renditefalle / stark prüfen;🟡 PRÜFEN;Vor Besichtigung Sonderumlage, WEG, Rücklage, Mietvertrag prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/22834954;LEIPZIG_65000_454_008;Leipzig;Bischofstr. 25, 04179 Leipzig;Attraktive Kapitalanlage: 1-Zimmer-Wohnung mit Balkon & Stellplatz – 4,33 % Rendite;65000;30;6.4;454;58;-30;28;❌ AUSSCHLIESSEN;NUR MIT RÜCKFRAGEN;Altinserat-Renditefalle / stark prüfen;🟡 PRÜFEN;Vor Besichtigung Sonderumlage, WEG, Rücklage, Mietvertrag prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27102179;LEIPZIG_115000_64_009;Stötteritz;04299 Leipzig - Stötteritz 04299 Leipzig - Stötteritz;Zeitlose Kapitalanlage im Gründerzeithaus – 2-Zimmer-Wohnung mit Balkon und Aufzug;115000;55;6.4;64;66;-15;51;❌ AUSSCHLIESSEN;AUSSCHLIESSEN;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/26831639;LEIPZIG_130000_86_010;Knautkleeberg-Knauthain;04249 Leipzig - Knautkleeberg-Knauthain 04249 Leipzig - Knautkleeberg-Knauthain;ERSTKLASSIGE RENDITE FÜR IHR PORTFOLIO! // Vermietete 2-Raum-Wohnung mit Terrasse;130000;64.78;6.3;86;59;-15;44;❌ AUSSCHLIESSEN;AUSSCHLIESSEN;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27096370;LEIPZIG_120000_64_011;Wiederitzsch;Zur Loberaue 15, 04356 Leipzig;Attraktive Kapitalanlage in Leipzig;120000;66;6.3;64;60;-15;45;❌ AUSSCHLIESSEN;AUSSCHLIESSEN;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen
